ticker,name,exchange,sector,industry,market_cap,cap
VCICU,Vine Hill Capital Investment Corp. Unit,NASDAQ,Financial Services,Shell Companies,0.0,
VCICW,Vine Hill Capital Investment Corp. Warrant,NASDAQ,,,0.0,
VCTR,Victory Capital Holdings Inc,NASDAQ,Financial Services,Asset Management,4161945600.0,MidCap
VCV,Invesco California Value Muni Inc Tr,NYSE,Financial Services,Asset Management,499383680.0,SmallCap
VCYT,Veracyte Inc,NASDAQ,Healthcare,Diagnostics & Research,2418714368.0,MidCap
VECO,Veeco Instruments Inc,NASDAQ,Technology,Semiconductor Equipment & Materials,1982671488.0,SmallCap
VEEAW,Veea Inc,NASDAQ,,,0.0,
VEEV,Veeva Systems Inc Class A,NYSE,Healthcare,Health Information Services,28924633088.0,LargeCap
VEL,Velocity Financial Llc,NYSE,Financial Services,Mortgage Finance,707019776.0,SmallCap
VEON,VEON Ltd,NASDAQ,Communication Services,Telecom Services,3079407360.0,MidCap
VERA,Vera Therapeutics Inc,NASDAQ,Healthcare,Biotechnology,2718650624.0,MidCap
VERB,Verb Technology Company Inc,NASDAQ,,,0.0,
VERX,Vertex,NASDAQ,Technology,Software - Application,1866696960.0,SmallCap
VET,Vermilion Energy Inc.,NYSE,Energy,Oil & Gas E&P,2076885888.0,MidCap
VFC,VF Corporation,NYSE,Consumer Cyclical,Apparel Manufacturing,6318902784.0,MidCap
VFF,Village Farms International Inc,NASDAQ,Consumer Defensive,Farm Products,303749792.0,SmallCap
VFS,VinFast Auto Ltd. Ordinary Shares,NASDAQ,Consumer Cyclical,Auto Manufacturers,8445725184.0,MidCap
VFSWW,VinFast Auto Ltd. Warrant,NASDAQ,,,0.0,
VG,"Venture Global, Inc.",NYSE,Energy,Oil & Gas Midstream,41498226688.0,LargeCap
VGASW,Verde Clean Fuels Inc.,NASDAQ,,,0.0,
VGM,Invesco Trust For Inv Grade Munis,NYSE,Financial Services,Asset Management,521711520.0,SmallCap
VHCP,Vine Hill Capital Investment Corp. II Class A Ordinary Shares,NASDAQ,,,303600000.0,SmallCap
VHCPW,Vine Hill Capital Investment Corp. II Warrants,NASDAQ,,,0.0,
VHI,Valhi Inc,NYSE,Basic Materials,Chemicals,401043488.0,SmallCap
VIA,"Via Transportation, Inc.",NASDAQ,Technology,Software - Application,1130960256.0,SmallCap
VIAV,Viavi Solutions Inc,NASDAQ,Technology,Communication Equipment,7360495104.0,MidCap
VICI,VICI Properties Inc,NYSE,Real Estate,REIT - Diversified,28980291584.0,LargeCap
VICR,Vicor Corporation,NASDAQ,Technology,Electronic Components,6452968448.0,MidCap
VIK,Viking Holdings Ltd,NYSE,Consumer Cyclical,Travel Services,30514053120.0,LargeCap
VINP,Vinci Partners Investments Ltd,NASDAQ,Financial Services,Asset Management,664034240.0,SmallCap
VIPS,Vipshop Holdings Limited,NYSE,Consumer Cyclical,Internet Retail,7888000000.0,MidCap
VIR,Vir Biotechnology Inc,NASDAQ,Healthcare,Biotechnology,1352004352.0,SmallCap
VIRT,"Virtu Financial, Inc.",NYSE,Financial Services,Capital Markets,9200160768.0,MidCap
VISN,"CommScope Holding Company, Inc.",NASDAQ,Technology,Communication Equipment,3970401280.0,MidCap
VIST,Vista Oil Gas ADR,NYSE,Energy,Oil & Gas E&P,8125696000.0,MidCap
VITL,Vital Farms Inc,NASDAQ,Consumer Defensive,Farm Products,591322048.0,SmallCap
VIV,Telefonica Brasil SA ADR,NYSE,Communication Services,Telecom Services,24624209920.0,LargeCap
VIVK,Vivakor Inc,NASDAQ,Energy,Oil & Gas Integrated,662516992.0,SmallCap
VKI,Invesco Advantage MIT II,NYSE MKT,Financial Services,Asset Management,370346208.0,SmallCap
VKQ,Invesco Municipal Trust,NYSE,Financial Services,Asset Management,519600512.0,SmallCap
VKTX,Viking Therapeutics Inc,NASDAQ,Healthcare,Biotechnology,3457384448.0,MidCap
VLGEA,Village Super Market Inc,NASDAQ,Consumer Defensive,Grocery Stores,631531904.0,SmallCap
VLN-WT,Valens Semiconductor Ltd.,NASDAQ,,,0.0,
VLO,Valero Energy Corporation,NYSE,Energy,Oil & Gas Refining & Marketing,74837295104.0,LargeCap
VLRS,Volaris,NYSE,Industrials,Airlines,799011712.0,SmallCap
VLTO,Veralto Corporation,NYSE,Industrials,Pollution & Treatment Controls,21317007360.0,LargeCap
VLY,Valley National Bancorp,NASDAQ,Financial Services,Banks - Regional,6635863040.0,MidCap
VMC,Vulcan Materials Company,NYSE,Basic Materials,Building Materials,34857127936.0,LargeCap
VMCA,Valuence Merger Corp I,NASDAQ,,,0.0,
VMD,Viemed Healthcare Inc,NASDAQ,Healthcare,Medical Devices,360934624.0,SmallCap
VMI,Valmont Industries Inc,NYSE,Industrials,Conglomerates,7506715648.0,MidCap
VMO,Invesco Municipal Opportunity Trust,NYSE,Financial Services,Asset Management,628547200.0,SmallCap
VNDA,Vanda Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,393068416.0,SmallCap
VNET,VNET Group Inc DRC,NASDAQ,Technology,Information Technology Services,2136065536.0,MidCap
VNO,Vornado Realty Trust,NYSE,Real Estate,REIT - Office,5256302592.0,MidCap
VNOM,Viper Energy Ut,NASDAQ,Energy,Oil & Gas Midstream,17513453568.0,LargeCap
VNT,Vontier Corp,NYSE,Technology,Scientific & Technical Instruments,4963870720.0,MidCap
VOD,Vodafone Group PLC ADR,NASDAQ,Communication Services,Telecom Services,34461245440.0,LargeCap
VOR,Vor Biopharma Inc,NASDAQ,Healthcare,Biotechnology,610341632.0,SmallCap
VOXP,VOXP,BATS,,,0.0,
VOXR,Vox Royalty Corp. Common Stock,NASDAQ,Basic Materials,Other Precious Metals & Mining,330449312.0,SmallCap
VOYA,Voya Financial Inc,NYSE,Financial Services,Financial Conglomerates,6366400000.0,MidCap
VOYG,"Voyager Technologies, Inc.",NYSE,Industrials,Aerospace & Defense,1295791744.0,SmallCap
VPG,Vishay Precision Group Inc,NYSE,Technology,Scientific & Technical Instruments,540938624.0,SmallCap
VRDN,Viridian Therapeutics Inc,NASDAQ,Healthcare,Biotechnology,1893887744.0,SmallCap
VRE,Veris Residential Inc,NYSE,Real Estate,REIT - Residential,1939686144.0,SmallCap
VREX,Varex Imaging Corp,NASDAQ,Healthcare,Medical Devices,433446944.0,SmallCap
VRNS,Varonis Systems,NASDAQ,Technology,Software - Infrastructure,2495886080.0,MidCap
VRRM,Verra Mobility Corp,NASDAQ,Technology,Information Technology Services,2256241408.0,MidCap
VRSK,Verisk Analytics Inc,NASDAQ,Industrials,Consulting Services,26112845824.0,LargeCap
VRSN,VeriSign Inc,NASDAQ,Technology,Software - Infrastructure,23144409088.0,LargeCap
VRT,Vertiv Holdings Co,NYSE,Industrials,Electrical Equipment & Parts,89612214272.0,LargeCap
VRTS,"Virtus Investment Partners, Inc.",NYSE,Financial Services,Asset Management,879153536.0,SmallCap
VRTX,Vertex Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,112562642944.0,LargeCap
VSAT,ViaSat Inc,NASDAQ,Technology,Communication Equipment,5938549248.0,MidCap
VSCO,Victoria's Secret & Co,NYSE,Consumer Cyclical,Apparel Retail,3483416832.0,MidCap
VSEC,VSE Corporation,NASDAQ,Industrials,Aerospace & Defense,4639520256.0,MidCap
VSECU,VSE Corporation Tangible Equity Units,NASDAQ,Industrials,Aerospace & Defense,0.0,
VSEEW,"VSee Health, Inc.",NASDAQ,,,0.0,
VSH,Vishay Intertechnology Inc,NYSE,Technology,Semiconductors,2248752640.0,MidCap
VSNT,"Versant Media Group, Inc. Class A Common Stock When-Issued",NASDAQ,Communication Services,Entertainment,5143744000.0,MidCap
VSNTV,"Versant Media Group, Inc. Class A Common Stock When-Issued",NASDAQ,,,0.0,
VST,Vistra Energy Corp,NYSE,Utilities,Utilities - Independent Power Producers,49949556736.0,LargeCap
VSTM,Verastem Inc,NASDAQ,Healthcare,Biotechnology,426000256.0,SmallCap
VSTS,Vestis Corporation,NYSE,Industrials,Rental & Leasing Services,1031840704.0,SmallCap
VTEX,VTEX,NYSE,Technology,Software - Application,678266112.0,SmallCap
VTMX,"CorporaciÃ³n Inmobiliaria Vesta, S.A.B de C.V.",NYSE,Real Estate,Real Estate - Development,2798392832.0,MidCap
VTOL,Bristow Group Inc,NYSE,Energy,Oil & Gas Equipment & Services,1317097856.0,SmallCap
VTR,Ventas Inc,NYSE,Real Estate,REIT - Healthcare Facilities,38766661632.0,LargeCap
VTRS,Viatris Inc,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,14926937088.0,LargeCap
VTS,Vitesse Energy Inc,NYSE,Energy,Oil & Gas E&P,733880640.0,SmallCap
VTYX,Ventyx Biosciences Inc,NASDAQ,Healthcare,Biotechnology,1004502016.0,SmallCap
VVV,Valvoline Inc,NYSE,Consumer Cyclical,Auto & Truck Dealerships,4219246336.0,MidCap
VVX,V2X Inc,NYSE,Industrials,Aerospace & Defense,2092284672.0,MidCap
VYLD,JPMorgan Chase Financial Company LLC,NYSE ARCA,,,0.0,
VYX,NCR Voyix Corporation,NYSE,Technology,Information Technology Services,867430848.0,SmallCap
VZ,Verizon Communications Inc,NYSE,Communication Services,Telecom Services,212149518336.0,MegaCap
VZLA,Vizsla Resources Corp,NYSE MKT,Basic Materials,Other Industrial Metals & Mining,1093931392.0,SmallCap
W,Wayfair Inc,NYSE,Consumer Cyclical,Internet Retail,9093514240.0,MidCap
WAB,Westinghouse Air Brake Technologies Corp,NYSE,Industrials,Railroads,40580104192.0,LargeCap
WABC,Westamerica Bancorporation,NASDAQ,Financial Services,Banks - Regional,1252077696.0,SmallCap
WAFD,Washington Federal Inc,NASDAQ,Financial Services,Banks - Regional,2374829568.0,MidCap
WAL,Western Alliance Bancorporation,NYSE,Financial Services,Banks - Regional,7480347648.0,MidCap
WALDW,Waldencast Acquisition Corp,NASDAQ,,,0.0,
WASH,Washington Trust Bancorp Inc,NASDAQ,Financial Services,Banks - Regional,626604672.0,SmallCap
WAT,Waters Corporation,NYSE,Healthcare,Diagnostics & Research,28780146688.0,LargeCap
WAY,Waystar Holding Corp. Common Stock,NASDAQ,Healthcare,Health Information Services,4496849920.0,MidCap
WB,Weibo Corp,NASDAQ,Communication Services,Internet Content & Information,2130342784.0,MidCap
WBD,Warner Bros Discovery Inc,NASDAQ,Communication Services,Entertainment,67908354048.0,LargeCap
WBI,WaterBridge Infrastructure LLC,NYSE,Energy,Oil & Gas Equipment & Services,1155604096.0,SmallCap
WBS,Webster Financial Corporation,NYSE,Financial Services,Banks - Regional,10951155712.0,LargeCap
WBTN,WEBTOON Entertainment Inc. Common stock,NASDAQ,Communication Services,Internet Content & Information,1181323008.0,SmallCap
WCC,WESCO International Inc,NYSE,Industrials,Industrial Distribution,12512925696.0,LargeCap
WCMI,First Trust Exchange-Traded Fund,NYSE ARCA,,,0.0,
WCN,Waste Connections Inc,NYSE,Industrials,Waste Management,41376747520.0,LargeCap
WD,Walker & Dunlop Inc,NYSE,Financial Services,Mortgage Finance,1481286656.0,SmallCap
WDAY,Workday Inc,NASDAQ,Technology,Software - Application,33866510336.0,LargeCap
WDC,Western Digital Corporation,NASDAQ,Technology,Computer Hardware,86045794304.0,LargeCap
WDFC,WD-40 Company,NASDAQ,Basic Materials,Specialty Chemicals,2753996800.0,MidCap
WDH,Waterdrop Inc ADR,NYSE,Financial Services,Insurance - Diversified,582925952.0,SmallCap
WDI,Western Asset Diversified Income Fund,NYSE,Financial Services,Asset Management,677972288.0,SmallCap
WDS,Woodside Energy Group Ltd,NYSE,Energy,Oil & Gas E&P,46139703296.0,LargeCap
WEAV,Weave Communications Inc,NYSE,Healthcare,Health Information Services,346840352.0,SmallCap
WEC,WEC Energy Group Inc,NYSE,Utilities,Utilities - Regulated Electric,37562937344.0,LargeCap
WELL,Welltower Inc,NYSE,Real Estate,REIT - Healthcare Facilities,136271069184.0,LargeCap
WEN,The Wendy’s Co,NASDAQ,Consumer Cyclical,Restaurants,1290644608.0,SmallCap
WENN,Wen Acquisition Corp Class A Ordinary Shares,NASDAQ,Financial Services,Shell Companies,381940896.0,SmallCap
WENNU,WENNU,NASDAQ,Financial Services,Shell Companies,0.0,
WERN,Werner Enterprises Inc,NASDAQ,Industrials,Trucking,1714659712.0,SmallCap
WES,Western Midstream Partners LP,NYSE,Energy,Oil & Gas Midstream,16980781056.0,LargeCap
WEST,Westrock Coffee Company,NASDAQ,Consumer Defensive,Packaged Foods,392360416.0,SmallCap
WEX,Wex Inc,NYSE,Technology,Software - Infrastructure,5262562304.0,MidCap
WEYS,Weyco Group Inc,NASDAQ,Consumer Cyclical,Footwear & Accessories,305103584.0,SmallCap
WF,Woori Financial Group Inc,NYSE,Financial Services,Banks - Regional,15655455744.0,LargeCap
WFC,Wells Fargo & Company,NYSE,Financial Services,Banks - Diversified,236976816128.0,MegaCap
WFG,West Fraser Timber Co Ltd,NYSE,Basic Materials,Lumber & Wood Production,5026725376.0,MidCap
WFRD,Weatherford International plc,NASDAQ,Energy,Oil & Gas Equipment & Services,6643635712.0,MidCap
WGO,Winnebago Industries Inc,NYSE,Consumer Cyclical,Recreational Vehicles,891785600.0,SmallCap
WGS,GeneDx Holdings Corp.,NASDAQ,Healthcare,Diagnostics & Research,1745901824.0,SmallCap
WGSWW,GeneDx Holdings Corp.,NASDAQ,,,0.0,
WH,Wyndham Hotels & Resorts Inc,NYSE,Consumer Cyclical,Lodging,6023180288.0,MidCap
WHD,Cactus Inc,NYSE,Energy,Oil & Gas Equipment & Services,3217622528.0,MidCap
WHR,Whirlpool Corporation,NYSE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3277996544.0,MidCap
WHR-P-A,WHR-P-A,NYSE,,,0.0,
WILC,G Willi-Food International Ltd,NASDAQ,Consumer Defensive,Food Distribution,351043840.0,SmallCap
WINA,Winmark Corporation,NASDAQ,Consumer Cyclical,Specialty Retail,1511031040.0,SmallCap
WING,Wingstop Inc,NASDAQ,Consumer Cyclical,Restaurants,4296958976.0,MidCap
WINVR,WinVest Acquisition Corp. Right,NASDAQ,,,0.0,
WINVW,WinVest Acquisition Corp. Warrant,NASDAQ,,,0.0,
WIT,Wipro Limited ADR,NYSE,Technology,Information Technology Services,21687218176.0,LargeCap
WIX,Wix.Com Ltd,NASDAQ,Technology,Software - Infrastructure,5118816256.0,MidCap
WK,Workiva Inc,NYSE,Technology,Software - Application,3336193536.0,MidCap
WKC,World Kinect Corporation,NYSE,Energy,Oil & Gas Refining & Marketing,1281185408.0,SmallCap
WLACU,Willow Lane Acquisition Corp. Unit,NASDAQ,Financial Services,Shell Companies,0.0,
WLDN,Willdan Group Inc,NASDAQ,Industrials,Engineering & Construction,1114590976.0,SmallCap
WLDSW,Wearable Devices Ltd.,NASDAQ,,,0.0,
WLDU,WLDU,BATS,,,0.0,
WLFC,Willis Lease Finance Corporation,NASDAQ,Industrials,Rental & Leasing Services,1110366592.0,SmallCap
WLIIU,Willow Lane Acquisition Corp. II Unit,NASDAQ,Financial Services,Shell Companies,0.0,
WLK,Westlake Chemical Corporation,NYSE,Basic Materials,Specialty Chemicals,14879685632.0,LargeCap
WLKP,Westlake Chemical Partners LP,NYSE,Basic Materials,Chemicals,766245440.0,SmallCap
WLTH,Wealthfront Corporation Common Stock,NASDAQ,Technology,Software - Application,1361831424.0,SmallCap
WLY,John Wiley & Sons,NYSE,Communication Services,Publishing,1948220928.0,SmallCap
WLYB,John Wiley & Sons B,NYSE,Communication Services,Publishing,1978758144.0,SmallCap
WM,Waste Management Inc,NYSE,Industrials,Waste Management,92751093760.0,LargeCap
WMB,Williams Companies Inc,NYSE,Energy,Oil & Gas Midstream,88526684160.0,LargeCap
WMG,Warner Music Group,NASDAQ,Communication Services,Entertainment,12588542976.0,LargeCap
WMK,Weis Markets Inc,NYSE,Consumer Defensive,Grocery Stores,1700943488.0,SmallCap
WMS,Advanced Drainage Systems Inc,NYSE,Industrials,Building Products & Equipment,10240153600.0,LargeCap
WMT,Walmart Inc. Common Stock,NASDAQ,Consumer Defensive,Discount Stores,984591761408.0,MegaCap
WNC,Wabash National Corporation,NYSE,Industrials,Farm & Heavy Construction Machinery,342365600.0,SmallCap
WOLF,"Wolfspeed, Inc.",NYSE,Technology,Semiconductors,715411904.0,SmallCap
WOOF,Pet Acquisition LLC,NASDAQ,Consumer Cyclical,Specialty Retail,762073152.0,SmallCap
WOR,Worthington Industries Inc,NYSE,Industrials,Metal Fabrication,2532421376.0,MidCap
WOW,WideOpenWest Inc,NYSE,,,0.0,
WPAC-R,WPAC-R,NYSE,,,0.0,
WPAC-UN,White Pearl Acquisition Corp.,NYSE,Financial Services,Shell Companies,0.0,
WPC,W P Carey Inc,NYSE,Real Estate,REIT - Diversified,15291268096.0,LargeCap
WPM,Wheaton Precious Metals Corp,NYSE,Basic Materials,Gold,56334987264.0,LargeCap
WPP,WPP PLC ADR,NYSE,Communication Services,Advertising Agencies,3341268992.0,MidCap
WRB,W. R. Berkley Corp,NYSE,Financial Services,Insurance - Property & Casualty,25176403968.0,LargeCap
WRBY,Warby Parker Inc,NYSE,Healthcare,Medical Instruments & Supplies,2490587904.0,MidCap
WRD,WeRide Inc. American Depositary Shares,NASDAQ,Technology,Software - Application,2434249216.0,MidCap
WRLD,World Acceptance Corporation,NASDAQ,Financial Services,Credit Services,671726976.0,SmallCap
WRN,Western Copper and Gold Corp,NYSE MKT,Basic Materials,Other Industrial Metals & Mining,539233408.0,SmallCap
WS,Worthington Steel Inc,NYSE,Basic Materials,Steel,1433442688.0,SmallCap
WSBC,WesBanco Inc,NASDAQ,Financial Services,Banks - Regional,3241846016.0,MidCap
WSBF,Waterstone Financial Inc,NASDAQ,Financial Services,Banks - Regional,335915968.0,SmallCap
WSC,Willscot Mobile Mini Holdings Corp A,NASDAQ,Industrials,Rental & Leasing Services,3014840064.0,MidCap
WSFS,WSFS Financial Corporation,NASDAQ,Financial Services,Banks - Regional,3522771712.0,MidCap
WSM,Williams-Sonoma Inc,NYSE,Consumer Cyclical,Specialty Retail,21046798336.0,LargeCap
WSO,Watsco Inc,NYSE,Industrials,Industrial Distribution,14185202688.0,LargeCap
WSO-B,Watsco Inc,NYSE,Industrials,Industrial Distribution,14955260928.0,LargeCap
WSR,Whitestone REIT,NYSE,Real Estate,REIT - Retail,837630464.0,SmallCap
WST,West Pharmaceutical Services Inc,NYSE,Healthcare,Medical Instruments & Supplies,17670084608.0,LargeCap
WT,WisdomTree Inc.,NYSE,Financial Services,Asset Management,1971304576.0,SmallCap
WTBA,West Bancorporation,NASDAQ,Financial Services,Banks - Regional,402513024.0,SmallCap
WTFC,Wintrust Financial Corporation,NASDAQ,Financial Services,Banks - Regional,8983973888.0,MidCap
WTGUU,Wintergreen Acquisition Corp.,NASDAQ,Financial Services,Shell Companies,0.0,
